sim_id	mean_p_per_m	sd_p_per_m	total_p	total_time	psr
244	7	5	7012	999762	0.007014
245	25	12	23976	999997	0.023976
246	21	11	21539	996557	0.021613
247	16	10	16713	999852	0.016715
248	9	7	9638	999627	0.009642
249	7	5	6695	995938	0.006722
25	3	2	3406	999806	0.003407
250	232	28	69040	304638	0.226629
251	88	69	62746	704991	0.089002
252	54	47	53578	999999	0.053578
253	16	13	16410	999973	0.01641
254	6	5	6298	999998	0.006298
255	51	32	50004	1000000	0.050004
256	36	19	34004	999704	0.034014
257	20	11	20357	999998	0.020357
258	11	7	11074	999999	0.011074
259	8	6	8917	997566	0.008939
26	3	2	3406	999806	0.003407
260	652	149	106940	184446	0.579789
261	131	125	69656	551922	0.126206
262	68	67	65599	979048	0.067003
263	17	14	17421	999424	0.017431
264	6	5	6505	999511	0.006508
265	321	220	63625	233085	0.272969
266	219	168	66960	326845	0.204867
267	63	48	65146	999999	0.065146
268	26	16	26503	997617	0.026566
269	18	11	18400	999541	0.018408
27	3	2	3406	999806	0.003407
28	3	2	3406	999806	0.003407
29	3	2	3406	999806	0.003407
3	3	2	3129	999994	0.003129
30	6	4	6826	999935	0.006826
31	6	3	6723	999984	0.006723
32	6	4	6762	999980	0.006762
33	5	3	5084	999855	0.005085
34	2	1	2247	999637	0.002248
35	6	3	6847	999948	0.006847
36	6	3	6951	999919	0.006952
37	6	3	6704	999960	0.006704
38	5	3	5802	999903	0.005803
39	5	3	5445	999611	0.005447
4	2	1	2078	999731	0.002079
40	6	4	6711	999998	0.006711
41	6	4	6933	999816	0.006934
42	6	4	6450	999829	0.006451
43	5	3	5734	998135	0.005745
44	3	2	3065	999633	0.003066
45	6	4	6711	999998	0.006711
46	6	4	6711	999998	0.006711
47	6	4	6807	999851	0.006808
48	6	4	6781	999725	0.006783
49	6	3	6736	999996	0.006736
5	3	2	3364	999944	0.003364
50	7	4	6706	999925	0.006706
51	6	4	6813	999857	0.006814
52	6	4	6767	999992	0.006767
53	5	3	5854	999989	0.005854
54	3	2	3299	999115	0.003302
55	7	4	6706	999925	0.006706
56	7	4	6706	999925	0.006706
57	6	4	6870	999875	0.006871
58	6	4	6910	999944	0.00691
59	7	4	6727	999930	0.006727
6	3	2	3365	999831	0.003366
60	13	7	13920	999674	0.013925
61	12	7	13390	999998	0.01339
62	12	7	12555	999988	0.012555
63	8	6	8139	999993	0.008139
64	2	1	2686	996716	0.002695
65	13	7	13710	999978	0.01371
66	13	7	13542	998711	0.013559
67	11	6	11886	999972	0.011886
68	8	5	8289	999999	0.008289
69	6	4	5947	999494	0.00595
7	3	2	3346	999676	0.003347
70	13	7	13443	999973	0.013443
71	13	7	13153	999979	0.013153
72	12	7	12792	999553	0.012798
73	9	7	9381	999470	0.009386
74	3	2	3470	998400	0.003476
75	13	7	13535	999972	0.013535
76	13	7	13537	999999	0.013537
77	13	7	13801	999927	0.013802
78	13	7	13406	999988	0.013406
79	13	7	13074	999962	0.013074
8	3	2	3450	999639	0.003451
80	13	7	13618	999913	0.013619
81	13	7	13852	999437	0.01386
82	12	7	12797	999983	0.012797
83	10	7	9826	999997	0.009826
84	3	3	3577	998690	0.003582
85	13	7	13618	999913	0.013619
86	13	7	13618	999913	0.013619
87	13	7	13618	999913	0.013619
88	14	7	13651	999981	0.013651
89	13	7	13324	999828	0.013326
9	3	2	3171	999807	0.003172
90	27	13	27243	999998	0.027243
91	25	14	24840	999990	0.02484
92	21	13	23241	999993	0.023241
93	8	8	8554	997944	0.008572
94	2	2	2691	999538	0.002692
95	23	10	23405	999719	0.023412
96	21	9	21376	999998	0.021376
97	12	7	12928	999995	0.012928
98	5	4	5866	999921	0.005866
99	3	2	4042	999540	0.004044
