nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	147	preterm_no_hit_endocleaved	2	1	25	871434	2.9e-5
2	148	preterm_5_hit_endocleaved	1	0	6	923735	6e-6
2	148	preterm_no_hit_endocleaved	2	1	125	998288	1.25e-4
2	149	preterm_5_hit_endocleaved	1	0	19	961694	2e-5
2	149	preterm_no_hit_endocleaved	2	1	291	986038	2.95e-4
2	151	preterm_5_hit_endocleaved	15	8	4295	994653	0.004318
2	151	preterm_no_hit_endocleaved	11	10	4414	994653	0.004438
2	152	preterm_5_hit_endocleaved	14	8	6330	995216	0.00636
2	152	preterm_no_hit_endocleaved	11	11	7255	995216	0.00729
2	153	preterm_5_hit_endocleaved	10	8	4552	997144	0.004565
2	153	preterm_no_hit_endocleaved	7	8	5829	999556	0.005832
2	154	preterm_5_hit_endocleaved	2	2	505	998353	5.06e-4
2	154	preterm_no_hit_endocleaved	2	2	2201	999461	0.002202
2	155	preterm_5_hit_endocleaved	9	6	9230	999767	0.009232
2	155	preterm_no_hit_endocleaved	6	3	6054	999767	0.006055
2	156	preterm_5_hit_endocleaved	8	6	8687	999998	0.008687
2	156	preterm_no_hit_endocleaved	5	3	6070	999998	0.00607
2	157	preterm_5_hit_endocleaved	5	3	4893	998373	0.004901
2	157	preterm_no_hit_endocleaved	4	2	4787	998373	0.004795
2	158	preterm_5_hit_endocleaved	3	2	2640	998136	0.002645
2	158	preterm_no_hit_endocleaved	4	1	4738	998136	0.004747
2	159	preterm_5_hit_endocleaved	2	1	1994	998905	0.001996
2	159	preterm_no_hit_endocleaved	4	1	4640	998905	0.004645
2	161	preterm_5_hit_endocleaved	6	6	771	995065	7.75e-4
2	161	preterm_no_hit_endocleaved	5	6	2877	998982	0.00288
2	162	preterm_5_hit_endocleaved	4	5	1045	995697	0.00105
2	162	preterm_no_hit_endocleaved	5	6	3928	998246	0.003935
2	163	preterm_5_hit_endocleaved	2	2	518	997080	5.2e-4
2	163	preterm_no_hit_endocleaved	4	3	3671	998513	0.003676
2	164	preterm_5_hit_endocleaved	1	1	209	986011	2.12e-4
2	164	preterm_no_hit_endocleaved	2	2	2203	998650	0.002206
2	165	preterm_5_hit_endocleaved	6	4	1353	999006	0.001354
2	165	preterm_no_hit_endocleaved	4	2	1279	999006	0.00128
2	166	preterm_5_hit_endocleaved	4	4	1566	999972	0.001566
2	166	preterm_no_hit_endocleaved	4	2	1653	999972	0.001653
2	167	preterm_5_hit_endocleaved	3	2	1973	999833	0.001973
2	167	preterm_no_hit_endocleaved	4	1	3028	999833	0.003029
2	168	preterm_5_hit_endocleaved	2	1	1608	995613	0.001615
2	168	preterm_no_hit_endocleaved	4	1	4159	995613	0.004177
2	169	preterm_5_hit_endocleaved	2	1	1429	999999	0.001429
2	169	preterm_no_hit_endocleaved	4	1	4409	999999	0.004409
1	17	preterm_no_hit_endocleaved	1	NA	1	569125	2e-6
2	171	preterm_5_hit_endocleaved	1	0	96	989652	9.7e-5
2	171	preterm_no_hit_endocleaved	3	2	1354	999877	0.001354
2	172	preterm_5_hit_endocleaved	1	0	161	996742	1.62e-4
2	172	preterm_no_hit_endocleaved	3	2	1969	996742	0.001975
2	173	preterm_5_hit_endocleaved	1	0	313	996059	3.14e-4
2	173	preterm_no_hit_endocleaved	3	2	2830	998681	0.002834
2	174	preterm_5_hit_endocleaved	1	0	201	999017	2.01e-4
2	174	preterm_no_hit_endocleaved	2	1	2034	999638	0.002035
1	175	preterm_no_hit_endocleaved	3	1	10	992801	1e-5
2	176	preterm_5_hit_endocleaved	1	0	5	634663	8e-6
2	176	preterm_no_hit_endocleaved	3	2	37	966051	3.8e-5
2	177	preterm_5_hit_endocleaved	1	0	9	832280	1.1e-5
2	177	preterm_no_hit_endocleaved	3	2	167	995518	1.68e-4
2	178	preterm_5_hit_endocleaved	1	1	61	971918	6.3e-5
2	178	preterm_no_hit_endocleaved	3	2	617	997362	6.19e-4
2	179	preterm_5_hit_endocleaved	1	0	125	993146	1.26e-4
2	179	preterm_no_hit_endocleaved	3	2	1279	995676	0.001285
1	18	preterm_no_hit_endocleaved	2	NA	2	568983	4e-6
2	181	preterm_5_hit_endocleaved	16	9	5309	991541	0.005354
2	181	preterm_no_hit_endocleaved	13	12	6154	996745	0.006174
2	182	preterm_5_hit_endocleaved	16	9	8628	999477	0.008633
2	182	preterm_no_hit_endocleaved	12	11	9369	999477	0.009374
2	183	preterm_5_hit_endocleaved	11	9	5592	999772	0.005593
2	183	preterm_no_hit_endocleaved	8	9	7078	999772	0.00708
2	184	preterm_5_hit_endocleaved	2	3	748	999880	7.48e-4
2	184	preterm_no_hit_endocleaved	3	2	2752	999880	0.002752
2	185	preterm_5_hit_endocleaved	11	7	11683	999993	0.011683
2	185	preterm_no_hit_endocleaved	7	4	7480	999993	0.00748
2	186	preterm_5_hit_endocleaved	10	6	10221	1000000	0.010221
2	186	preterm_no_hit_endocleaved	6	4	6865	999999	0.006865
2	187	preterm_5_hit_endocleaved	8	5	8171	999958	0.008171
2	187	preterm_no_hit_endocleaved	6	2	6593	999958	0.006593
2	188	preterm_5_hit_endocleaved	4	3	4606	999933	0.004606
2	188	preterm_no_hit_endocleaved	6	2	6139	999933	0.006139
2	189	preterm_5_hit_endocleaved	3	2	3382	998575	0.003387
2	189	preterm_no_hit_endocleaved	6	2	6011	998575	0.00602
1	19	preterm_no_hit_endocleaved	1	0	4	827511	5e-6
2	191	preterm_5_hit_endocleaved	10	8	5084	996818	0.0051
