sim_id	mean_p_per_m	sd_p_per_m	total_p	total_time	psr
64	7720	NA	7720	999860	0.0077210000000000004
65	168	NA	168	999963	1.68e-4
66	8	NA	8	999977	8e-6
67	7559	NA	7559	999849	0.00756
68	7581	NA	7581	999735	0.007583
69	7377	NA	7377	999854	0.007378
7	3339	NA	3339	999969	0.003339
70	7300	NA	7300	999948	0.0073
71	7299	NA	7299	999854	0.0073
72	7277	NA	7277	999808	0.007278
73	7195	NA	7195	999778	0.007197
74	7256	NA	7256	999940	0.007256
75	7847	NA	7847	999830	0.007848
76	4041	NA	4041	999852	0.004042
77	2043	NA	2043	999899	0.002043
78	7702	NA	7702	999902	0.007703
79	7761	NA	7761	999722	0.007763
8	3356	NA	3356	999785	0.003357
80	246	NA	246	999887	2.46e-4
81	18	NA	18	999995	1.8e-5
82	7730	NA	7730	1000002	0.00773
83	7701	NA	7701	999784	0.007703
84	7750	NA	7750	999972	0.00775
85	7703	NA	7703	999978	0.007703
86	7695	NA	7695	999939	0.007695
87	7670	NA	7670	999998	0.00767
88	7637	NA	7637	999999	0.007637
89	7629	NA	7629	999940	0.007629
9	3234	NA	3234	999922	0.003234
90	15252	NA	15252	999997	0.015252
91	4919	NA	4919	999999	0.004919
92	1752	NA	1752	999960	0.001752
93	10368	NA	10368	999975	0.010368
94	11261	NA	11261	999904	0.011262
95	72	NA	72	999990	7.2e-5
96	1	NA	1	999989	1e-6
97	8223	NA	8223	999970	0.008223
98	9554	NA	9554	1000002	0.009554
99	7676	NA	7676	999941	0.007676
