sim_id	mean_p_per_m	sd_p_per_m	total_collision	total_time	collision_freq
0	184	242	159762	999999	0.159762
1	163	183	154298	999999	0.154298
2	180	201	169529	999998	0.169529
3	160	164	155854	999991	0.155855
4	160	159	164123	999999	0.164123
5	174	169	163923	999986	0.163925
6	170	167	162096	999999	0.162096
