sim_id	mean_p_per_m	sd_p_per_m	total_collision	total_time	collision_freq
0	12	10	235	998213	2.35e-4
1	11	10	994	978381	0.001016
2	14	14	3664	996934	0.003675
3	26	26	15105	999067	0.015119
4	69	71	64421	999954	0.064424
5	270	263	256396	999998	0.256396
6	1009	878	961609	999999	0.961609
7	3823	2841	3789544	999999	3.789544
8	19973	20004	6990804	359257	19.459036
