	k_init	k_preterm_no_hit_intact	k_preterm_5_hit_intact	k_preterm_3_hit_intact	k_preterm_both_hit_intact	preterm_intact_model	preterm_intact_rate	n_stall	x_stall	k_elong_stall	l_cleave	k_cleave_no_hit	k_cleave_5_hit	k_cleave_3_hit	k_cleave_both_hit	cleave_model	cleave_rate
35	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	8.8e-05	0	8.8e-05	hit5	8.8e-05
36	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.000125	0.000125	0	0.0	simple	0.000125
37	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.000125	0	0.000125	hit5	0.000125
38	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.000177	0.000177	0	0.0	simple	0.000177
39	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.000177	0	0.000177	hit5	0.000177
40	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.00025	0.00025	0	0.0	simple	0.00025
41	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.00025	0	0.00025	hit5	0.00025
42	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.000354	0.000354	0	0.0	simple	0.000354
43	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.000354	0	0.000354	hit5	0.000354
44	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0005	0.0005	0	0.0	simple	0.0005
45	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.0005	0	0.0005	hit5	0.0005
46	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.000707	0.000707	0	0.0	simple	0.000707
